Source,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A1-2,0.0,1.91592903399e-05,8.85034073812e-05,0.00013194352817,0.0,0.0006232748642150001,0.00123410891569,0.017543199186799998,0.00281482599737,0.0,0.0,0.0999028035025,0.503150772511,0.00156798019393,0.0,0.00140466036999,0.0734250309642,0.122769753611,0.0328057402588,0.0006818723006479999,0.00622701119557,0.117213598646,0.00035524385771900003,0.0,0.00120710466715,0.0010850140413599999,0.0,0.00158448004452,0.0,0.00413125590179,0.0,4.91075346264e-05,6.21795904505e-05,0.0,0.0,0.00038612523328400005,0.000308052649955,0.234908883827,4.01300212689e-05,0.153610536795,0.0458576090546,0.00142203761461,3.09904549399e-05,0.0017570832418199998,0.171506706887,0.0,0.0,5.00100020004e-05,0.0,0.0,0.0,0.0,0.00014762326542700003,0.000300687285223,0.0
A10,0.0,0.0,0.377732542703,0.0,0.000590318772137,0.00473815749918,0.00133683512608,0.0,0.0,0.0844768439108,0.274609834878,0.0,0.0,0.0187332370538,0.300273550567,0.088719089012,0.0,0.0,0.0,0.0031725192590799996,0.0,0.000725599052945,5.72973964063e-05,0.0296079136831,0.00313902661663,0.016080141590899998,0.0739694589108,0.00456237326741,0.0,0.0038309071700399996,0.0113890129522,0.017816770929,8.91564092448e-05,0.0,0.0,0.0,0.000104832791697,0.0,0.0,0.0,0.0005636978579480001,0.0006403273387369999,0.0007143844771169999,0.016472655392,0.000607647003833,0.0447936588939,0.0,0.0339332182689,0.0,0.0,0.0,0.000146902478378,0.0,0.0,0.0
A11,0.0,0.061765402459500005,0.0,0.0,0.00826446280992,0.0128193480265,0.000643633691628,0.0,3.66622671946e-05,0.0064322469982799994,0.04413318441150001,0.0,0.0,0.0060243449556399995,0.00417648470667,0.025046849518400003,0.0,0.0,0.0,0.00400172096472,0.00019577133907599996,0.000241866350982,0.00048129812981300004,0.0215970764518,0.00142244096797,0.00895278070251,0.0390149174684,0.00475343144237,0.0,0.0,0.0,0.00052986147907,0.0,8.85269121813e-05,0.0,0.00019306261664200002,0.00012781812705299999,0.0,0.0,0.0,7.92330243245e-05,0.000411821002131,0.0037872701249400003,0.000768723918296,0.0,0.0315263134947,0.000122840062239,0.00115226573947,0.0,0.0,0.0,0.00017380589511200003,0.0,0.0,0.0
A19DI,0.0,0.0,0.0,0.0,0.005312868949229999,0.014344608180799998,0.000464074879887,0.0,0.0,0.0,0.0,0.0,0.0,0.00144419228389,0.0,0.008314373048350001,0.0,0.0,0.0,0.0010335670168500001,0.0,0.0,0.00103135313531,0.0,0.00651046692117,0.0,0.0,0.0015317883268800001,0.0,0.0,0.0,0.0,0.0,0.0509915014164,0.0122605363985,0.000257416822189,0.021108079957699998,0.0,0.0,0.0,0.0,0.0019143191316199999,0.000557828188918,0.0,0.0,0.0,0.0007779870608469999,0.0,0.0305655572375,0.0461205695438,0.0538611792375,0.013447967270200001,0.0102858860681,0.0080675778284,0.026756976319499998
A19M,0.0,0.0,0.0,0.0,0.0,0.027425210829500002,0.0411691276947,0.0,0.0,0.0,0.0,3.34023648874e-05,0.0,0.0,0.00258193478532,0.00132791517364,5.84282792872e-05,0.0,0.0,0.007356964490029999,0.0,0.0009860050890589998,0.00359891521939,0.005582221008560001,0.014234322487899999,0.0009554154546569999,0.0,0.00359961667036,0.0,0.00039345294302800006,0.0,0.0007262916175760001,0.0,0.015563696152399999,0.0,0.0302464766072,0.00918817997912,0.0,0.0372406597375,0.0,0.00419600052774,0.0209276585442,0.199974356923,0.0,0.000138236107271,0.000158614104585,0.0,0.008066664215,0.0166078264831,0.0144717671701,0.00894721145243,0.0167510712894,9.19033177098e-05,0.0467450529037,0.00796487515155
A23a,0.000860173946287,0.00398832376039,0.0017700681476199998,0.00013194352817,0.015348288075600002,0.0,0.144792293915,0.0698339795957,0.0257857273914,0.0,0.00012074742656999999,0.00147761756298,0.0,4.12626366825e-05,0.0335120928462,0.00439745893832,0.00570231783809,0.00042480883602399996,0.0047762006735299995,0.0188485875389,0.012972477604399998,0.00156525184141,0.0023491932526599995,0.0786374278457,0.000547675926144,0.0290798575188,0.0407802983494,0.0007022066565920001,0.0,0.00481979855209,0.0,0.009598079570809999,1.94764724213e-05,0.0257301599968,0.0,0.0030246476607199996,0.00242185290795,0.00484054669704,8.02600425378e-05,0.00026801439620200004,0.0141273286313,0.00717359406262,0.07795726284139999,0.0006589062156819999,0.0139907294837,0.0020688891123199996,0.0,0.022164850264,0.0,0.000210637177462,0.000135391280802,2.66901540022e-05,7.38116327133e-05,0.0,0.00015835312747400002
A23b,0.000573449297525,0.00033858433661199995,0.000663775555359,0.0,0.0596221959858,0.146723143018,0.0,0.23837668938,0.0749904737713,0.0,6.03737132852e-05,0.011848708148,0.0,0.00016505054672999998,0.00888256869507,0.00334953165036,0.029539447502099997,0.0,0.0160185475342,0.07659378140380001,0.008984266619209999,0.0030348954293699998,0.0102123122148,0.110768618456,0.00243647659742,0.007190547885669999,0.00105922852856,0.00103080272987,0.0,0.0014557758892000002,0.0,0.0014102530174300001,1.94764724213e-05,0.00143928965673,0.0,0.0016088551386800002,0.00252218694495,0.00512528473804,0.006741843573180001,0.0,0.0491382760984,0.0074381156223299995,0.136903510587,0.0,0.029397171423299995,4.33651344319e-05,0.0,0.00799750183071,0.0,4.62442714909e-06,0.0,0.0,0.0,0.000496391250665,0.0
A23c,0.00041415782599,0.0,4.42517036906e-05,0.0,0.0,0.000847675665459,0.00414101760468,0.0,0.0697503323017,0.0,0.0,0.008946058336370001,0.0,0.0007014648236019999,8.32882188814e-05,0.0,0.0181253457332,0.0,0.00169686027913,0.000468410274365,0.0028477638512300002,0.0,0.000721947194719,0.000141964792731,9.36329588015e-05,0.00014140586074200002,0.0,0.0,0.0,5.90179414542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029612756264200003,0.0,0.0,0.0005636978579480001,0.0,3.09904549399e-05,0.0,0.00778796408441,0.0,0.0,6.02155717469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A24d,0.000318582943069,4.49357418891e-05,0.0,0.0,0.0,2.96797554388e-05,0.00478262393922,0.044121522418400005,0.0,0.0,0.0,0.0160014648758,0.0,0.0,0.0,2.92568753657e-05,0.0895291393749,0.0,0.0166697910528,0.00144384026278,0.11090667655200001,0.0012855315616900002,0.00011459479281299999,0.00327688231147,0.0,0.0165464514889,0.000176538088093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074031890660600005,0.0,0.0,0.0,9.17978611098e-06,0.0,0.00010981770261399999,0.00542902054685,0.0,0.0,5.00100020004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A32,0.0,0.07834700608789999,0.050623949022,0.0,0.0,0.00103879144036,0.00014813906973700001,0.0,7.33245343892e-05,0.0,0.147311860416,8.10241451953e-05,0.0,0.000123787910047,0.0151998003243,0.000771729576753,0.0,0.0,0.0,0.000497714030372,0.0,0.0,1.14594792813e-05,0.0,0.000633636833269,0.140914351482,0.193662282637,0.0,0.0,0.0,0.0,0.00022708349103,0.0,0.0,0.0,0.0,5.24163958486e-05,0.0,0.0,3.8287770886e-05,0.0,0.0,0.0,0.00010981770261399999,4.67420772179e-05,0.007466804069600001,0.0,0.00041028558575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
